os1,os2,os3,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s1_mean,s1_std,s1_trend,s2_mean,s2_std,s2_trend,s3_mean,s3_std,s3_trend,s4_mean,s4_std,s4_trend,s5_mean,s5_std,s5_trend,s6_mean,s6_std,s6_trend,s7_mean,s7_std,s7_trend,s8_mean,s8_std,s8_trend,s9_mean,s9_std,s9_trend,s10_mean,s10_std,s10_trend,s11_mean,s11_std,s11_trend,s12_mean,s12_std,s12_trend,s13_mean,s13_std,s13_trend,s14_mean,s14_std,s14_trend,s15_mean,s15_std,s15_trend,s16_mean,s16_std,s16_trend,s17_mean,s17_std,s17_trend,s18_mean,s18_std,s18_trend,s19_mean,s19_std,s19_trend,s20_mean,s20_std,s20_trend,s21_mean,s21_std,s21_trend
0.0018,-0.0003,100.0,518.67,642.28,1581.75,1400.64,14.62,21.61,554.54,2388.05,9049.61,1.3,47.15,521.4,2388.01,8140.58,8.434,0.03,392,2388,100.0,38.94,23.4787,518.67,0.0,0.0,642.2470000000001,0.24157124552948345,0.4599999999999227,1586.917,4.365211080552371,-7.9500000000000455,1400.8439999999998,3.3131629734875747,0.040000000000190994,14.62,0.0,0.0,21.61,0.0,0.0,554.114,0.3866436774774975,0.17999999999994998,2388.048,0.03155242551004828,-0.009999999999763531,9049.901999999998,5.3143240398002405,3.4200000000000728,1.3,0.0,0.0,47.239999999999995,0.13021349989749853,-0.3200000000000003,522.12,0.4422668877499382,-0.2599999999999909,2388.043,0.02162817092997712,-0.009999999999763531,8132.424000000001,3.779342094421409,1.9600000000000364,8.409839999999999,0.02387556631091013,0.014499999999999957,0.03,0.0,0.0,391.8,0.9189365834726771,0.0,2388.0,0.0,0.0,100.0,0.0,0.0,38.972,0.06579429222120084,-0.12000000000000455,23.39557,0.05252222915638319,0.05969999999999942
0.0016,0.0002,100.0,518.67,642.06,1583.41,1400.15,14.62,21.61,554.52,2388.09,9049.37,1.3,47.18,521.8,2388.02,8134.25,8.3938,0.03,391,2388,100.0,39.06,23.366,518.67,0.0,0.0,642.238,0.24719762674156973,-0.09000000000003183,1586.076,4.1188245356599404,-8.409999999999854,1400.545,3.216441270168719,-2.990000000000009,14.62,0.0,0.0,21.61,0.0,0.0,554.191,0.38275173270524954,0.7699999999999818,2388.0530000000003,0.034009802508606565,0.0500000000001819,9050.432,4.917544102496526,5.300000000001091,1.3,0.0,0.0,47.209,0.09666091936937918,-0.3100000000000023,522.072,0.4489691897372878,-0.4800000000000182,2388.038,0.020439612955621005,-0.0500000000001819,8132.7,3.8042520070748345,2.7600000000002183,8.40604,0.023000057970941144,-0.038000000000000256,0.03,0.0,0.0,391.7,0.948683298050509,-1.0,2388.0,0.0,0.0,100.0,0.0,0.0,38.977999999999994,0.07114929530376335,0.060000000000002274,23.38981,0.052264486561675524,-0.05760000000000076
-0.0019,0.0004,100.0,518.67,643.07,1582.19,1400.83,14.62,21.61,553.44,2388.12,9046.82,1.3,47.38,521.85,2388.08,8128.1,8.4152,0.03,393,2388,100.0,38.93,23.2757,518.67,0.0,0.0,642.3100000000001,0.3617549815368106,0.7200000000000273,1585.4959999999999,4.226320175071958,-5.7999999999999545,1400.208,2.957024781018187,-3.3700000000001182,14.62,0.0,0.0,21.61,0.0,0.0,554.109,0.448514833149961,-0.8199999999999363,2388.057,0.039454615277198866,0.03999999999996362,9049.82,4.951444233756068,-6.1200000000008,1.3,0.0,0.0,47.22,0.10974718422102982,0.10999999999999943,522.0150000000001,0.435870775957,-0.5699999999999363,2388.043,0.024060109910150434,0.04999999999972715,8132.187,4.061997456096143,-5.1299999999992,8.40578,0.02286665694849133,-0.0025999999999992696,0.03,0.0,0.0,392.0,0.8164965809277277,3.0,2388.0,0.0,0.0,100.0,0.0,0.0,38.976,0.0722956891292045,-0.020000000000003126,23.38296,0.06241063299719867,-0.06850000000000023
0.0009,-0.0,100.0,518.67,642.35,1592.95,1399.16,14.62,21.61,554.48,2388.09,9047.37,1.3,47.44,521.67,2388.0,8134.43,8.3964,0.03,393,2388,100.0,39.18,23.3826,518.67,0.0,0.0,642.3100000000001,0.3617549815368106,0.0,1586.5120000000002,4.698382227485879,10.160000000000082,1399.9370000000001,2.911616771180994,-2.709999999999809,14.62,0.0,0.0,21.61,0.0,0.0,554.1120000000001,0.451141761410836,0.029999999999972715,2388.055,0.03689323936870658,-0.01999999999998181,9049.609,5.012128512141044,-2.109999999998763,1.3,0.0,0.0,47.251,0.12431590583848998,0.30999999999999517,521.896,0.3288430899042974,-1.1900000000000546,2388.035,0.023687784005742767,-0.07999999999992724,8132.247,4.093273750923419,0.6000000000003638,8.4086,0.01915480792560063,0.028200000000000003,0.03,0.0,0.0,392.1,0.8755950357709134,1.0,2388.0,0.0,0.0,100.0,0.0,0.0,39.006,0.08846845012017952,0.29999999999999716,23.38383,0.06233089210905805,0.00870000000000104
-0.0018,-0.0003,100.0,518.67,642.43,1583.82,1402.13,14.62,21.61,553.64,2388.11,9052.22,1.3,47.3,522.5,2388.08,8127.56,8.4199,0.03,391,2388,100.0,38.99,23.35,518.67,0.0,0.0,642.316,0.3633547394306276,0.05999999999994543,1586.609,4.623799423754328,0.9700000000000273,1399.5279999999998,2.1070769642643947,-4.089999999999918,14.62,0.0,0.0,21.61,0.0,0.0,554.076,0.4748145836943863,-0.36000000000001364,2388.0600000000004,0.04082482904641608,0.0500000000001819,9049.316,4.729917077026781,-2.930000000000291,1.3,0.0,0.0,47.253,0.12499333315554521,0.01999999999999602,521.927,0.37148500792242567,0.30999999999994543,2388.0389999999998,0.027668674625885445,0.03999999999996362,8131.623,4.300599570602082,-6.239999999999782,8.40765,0.01822143121589369,-0.009499999999999176,0.03,0.0,0.0,391.9,0.8755950357709134,-2.0,2388.0,0.0,0.0,100.0,0.0,0.0,39.015,0.0807258735887486,0.09000000000000341,23.37839,0.0627089121789439,-0.05439999999999756
0.0006,0.0005,100.0,518.67,642.13,1587.98,1404.5,14.62,21.61,553.94,2388.05,9049.34,1.3,47.24,521.49,2388.07,8136.11,8.3936,0.03,392,2388,100.0,38.97,23.455,518.67,0.0,0.0,642.319,0.36149227746482065,0.029999999999972715,1586.9599999999998,4.57636439885543,3.509999999999991,1400.141,2.572938009358155,6.130000000000109,14.62,0.0,0.0,21.61,0.0,0.0,554.003,0.42705841390713695,-0.7299999999999045,2388.063,0.038600518131226676,0.03000000000020009,9049.282000000001,4.728231522813495,-0.3400000000001455,1.3,0.0,0.0,47.261,0.12087183294713276,0.0800000000000054,521.908,0.38992306933549664,-0.18999999999994088,2388.043,0.029078437983525926,0.03999999999996362,8131.9490000000005,4.521814901120653,3.259999999999309,8.40593,0.01869664556960824,-0.01720000000000077,0.03,0.0,0.0,392.0,0.8164965809277277,1.0,2388.0,0.0,0.0,100.0,0.0,0.0,39.014,0.08126773310757694,-0.00999999999999801,23.3872,0.06695983870948281,0.08809999999999718
0.0002,0.0002,100.0,518.67,642.58,1584.96,1399.95,14.62,21.61,553.8,2388.06,9054.92,1.3,47.12,521.89,2388.04,8137.27,8.4542,0.03,392,2388,100.0,38.81,23.3319,518.67,0.0,0.0,642.329,0.36776955344955675,0.10000000000002274,1586.224,4.1944598380879325,-7.3599999999999,1400.359,2.438571758678009,2.1800000000000637,14.62,0.0,0.0,21.61,0.0,0.0,553.949,0.41364101451486335,-0.5400000000000773,2388.067,0.035605867181916134,0.03999999999996362,9048.861,3.8620243684132403,-4.209999999999127,1.3,0.0,0.0,47.237,0.12284136111261647,-0.240000000000002,521.865,0.3621617195551374,-0.43000000000006366,2388.0440000000003,0.028751811537281843,0.009999999999763531,8132.444,4.827541817529775,4.950000000000728,8.41161,0.023759650670832192,0.05680000000000085,0.03,0.0,0.0,392.0,0.8164965809277277,0.0,2388.0,0.0,0.0,100.0,0.0,0.0,38.985,0.09732534213770644,-0.28999999999999915,23.382649999999998,0.06920790337012636,-0.04550000000000054
-0.0031,-0.0001,100.0,518.67,642.62,1591.04,1396.12,14.62,21.61,554.2,2388.05,9049.55,1.3,47.21,521.76,2388.07,8132.73,8.4028,0.03,392,2388,100.0,38.89,23.3987,518.67,0.0,0.0,642.3349999999999,0.3724170302825754,0.06000000000005912,1587.032,4.273340613618413,8.079999999999927,1399.8740000000003,2.764120113164462,-4.850000000000136,14.62,0.0,0.0,21.61,0.0,0.0,553.984,0.419104866219524,0.35000000000002274,2388.072,0.027808871486111855,0.0500000000001819,9049.736,2.626274082336245,8.75,1.3,0.0,0.0,47.233999999999995,0.1231259517729723,-0.030000000000001137,521.794,0.2934545204211286,-0.7100000000000364,2388.048,0.02936362072772053,0.03999999999996362,8132.609999999999,4.803526482352908,1.6599999999998545,8.41113,0.023897747453124406,-0.004800000000001248,0.03,0.0,0.0,392.1,0.7378647873726252,1.0,2388.0,0.0,0.0,100.0,0.0,0.0,38.977,0.1018768319535315,-0.0799999999999983,23.391460000000002,0.06446174059083448,0.08810000000000073
0.0032,-0.0003,100.0,518.67,641.79,1587.56,1400.35,14.62,21.61,554.18,2388.04,9053.99,1.3,47.4,521.89,2388.03,8129.13,8.4321,0.03,391,2388,100.0,38.8,23.3464,518.67,0.0,0.0,642.3019999999999,0.4066338784596657,-0.3300000000000409,1586.69,4.053467651283282,-3.4200000000000728,1400.4289999999999,2.112504832341529,5.5499999999999545,14.62,0.0,0.0,21.61,0.0,0.0,554.033,0.40944542439200965,0.4899999999998954,2388.0710000000004,0.02884826203119583,-0.010000000000218279,9050.489,2.661872565611043,7.530000000000655,1.3,0.0,0.0,47.245,0.13318742016004692,0.10999999999999943,521.804,0.29500282484529344,0.10000000000002274,2388.046,0.029888682362168476,-0.01999999999998181,8132.954000000001,4.355143064367731,3.4400000000005093,8.417060000000001,0.020436416298144387,0.05930000000000035,0.03,0.0,0.0,392.0,0.8164965809277277,-1.0,2388.0,0.0,0.0,100.0,0.0,0.0,38.952000000000005,0.11213087591440696,-0.25,23.38544,0.06569003306776747,-0.06020000000000181
-0.0037,0.0001,100.0,518.67,643.04,1581.11,1405.23,14.62,21.61,554.81,2388.05,9045.9,1.3,47.22,522.07,2388.02,8129.71,8.421,0.03,392,2388,100.0,39.03,23.422,518.67,0.0,0.0,642.435,0.408989269079681,1.3299999999999272,1585.677,4.0558272207335175,-10.13000000000011,1400.9060000000002,2.602081218306929,4.769999999999982,14.62,0.0,0.0,21.61,0.0,0.0,554.155,0.4431515918208254,1.2199999999999136,2388.071,0.02884826203119583,0.0,9049.909000000001,2.9813958326772503,-5.800000000001091,1.3,0.0,0.0,47.263999999999996,0.1107750473306631,0.18999999999999773,521.832,0.3065869461597938,0.2800000000000864,2388.042,0.03047767853517466,-0.03999999999996362,8132.986999999999,4.326207089099792,0.32999999999992724,8.4163,0.020098092778502386,-0.007600000000000051,0.03,0.0,0.0,391.9,0.7378647873726252,-1.0,2388.0,0.0,0.0,100.0,0.0,0.0,38.96,0.11479450238481258,0.0799999999999983,23.380699999999997,0.060460547283146836,-0.047399999999999665
